Concepts in Axiom
2
2
2
4
2
2
2
2
1
2
2
2
4
2
2
2
2
4
2
2
2
2
2
2
2
2
3
2
2
2
2
1
2
2
2
3
2
2
2
2
2
2
2
2
2
2
2
2
2
3
2
3
2
2
2
2
2
2
2
2
2
2
3
2
2
1
2
2
2
2
4
2
2
2
2
2
2
2
2
2
4
2
2
2
3
2
2
2
2
4
2
2
2
2
2
2
2
1
2
4
2
2
2
2
4
2
2
3
4
2
2
2
4
2
3
2
2
2
2
4
4
4
2
4
2
3
2
2
2
2
2
2
2
3
2
2
2
1
2
2
3
2
2
2
2
3
2
4
4
3
4
2
2
2
3
4
2
2
2
3
2
4
2
2
3
2
4
2
2
2
2
2
2
2
2
2
4
2
4
2
4
2
4
2
2
2
4
4
4
2
2
2
2
2
2
2
2
2
2
4
2
2
2
2
2
2
1
2
8
5
5
3
3
6
5
3
2
3
7
4
3
3
4
3
3
4
3
9
3
5
6
4
3
