Concepts in Axiom
4
3
3
4
5
3
4
3
3
3
3
3
3
3
4
4
3
4
5
3
3
3
3
3
3
3
5
3
3
3
3
2
3
3
3
3
3
4
4
3
3
3
2
4
4
3
3
3
3
3
5
3
3
4
3
3
3
3
3
3
3
3
3
3
3
2
3
2
3
18
3
3
3
3
3
3
3
3
3
4
3
3
3
3
3
4
3
3
3
3
4
6
2
3
3
3
3
3
3
3
3
3
3
3
4
3
3
4
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
30
3
3
3
3
3
4
3
3
3
3
3
3
4
4
3
3
4
3
3
3
3
4
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
4
3
3
3
3
2
3
3
3
3
10
3
3
3
3
3
3
3
4
3
3
3
4
4
3
3
3
3
3
3
3
4
3
4
3
4
3
3
3
3
4
3
21
3
3
3
3
4
3
3
3
3
3
3
3
4
3
3
4
3
3
3
2
3
3
3
5
3
4
5
3
3
3
3
3
3
3
3
3
3
4
3
3
3
3
3
3
3
4
3
3
3
3
3
3
3
3
3
3
3
4
3
4
3
3
3
3
3
4
3
3
