Ontology,is ALC,Average concepts in axiom,No. Concepts,No. Axioms,50%,100%,150%,200%,50% rate,100% rate,150% rate,200% rate
OBIB,TRUE,2.0633,1653,2702,29,174,586,1653,1.75%,10.53%,35.45%,100.00%
OCHV,FALSE,2,115641,173459,2,28912,72276,115641,0.00%,25.00%,62.50%,100.00%
ODAE,TRUE,2.6418,3672,15005,24,118,345,973,0.65%,3.21%,9.40%,26.50%
OGG,TRUE,1.9985,69689,70116,3,76,34952,69689,0.00%,0.11%,50.15%,100.00%
OGG-MM,TRUE,1.9985,69433,69788,2,42,34860,69433,0.00%,0.06%,50.21%,100.00%
OGMS,FALSE,2,104,97,9,23,55,104,8.65%,22.12%,52.88%,100.00%
OHPI,TRUE,2.0239,11292,37957,104,1583,5218,11292,0.92%,14.02%,46.21%,100.00%
OMIM,TRUE,2,55777,799131,55777,55777,55777,55777,100.00%,100.00%,100.00%,100.00%
ONTOAD,TRUE,2,5899,19279,1751,5899,5899,5899,29.68%,100.00%,100.00%,100.00%
ONTOLURGENCES,TRUE,2.0039,10031,12243,428,1537,4054,10031,4.27%,15.32%,40.41%,100.00%
ONTOPARON,TRUE,1.9962,2462,2950,99,372,1034,2462,4.02%,15.11%,42.00%,100.00%
ORDO,TRUE,2.0979,14500,74628,13,669,4143,11210,0.09%,4.61%,28.57%,77.31%
OVAE,TRUE,2.0319,1555,4701,80,308,773,1555,5.14%,19.81%,49.71%,100.00%
PDO,TRUE,1.9905,388,425,19,73,187,388,4.90%,18.81%,48.20%,100.00%
PDQ,TRUE,2,3799,113053,3799,3799,3799,3799,100.00%,100.00%,100.00%,100.00%
PE-O,TRUE,2.0027,1251,1507,32,141,499,1251,2.56%,11.27%,39.89%,100.00%
PHAGE,TRUE,2.0055,123,206,8,23,69,123,6.50%,18.70%,56.10%,100.00%
PHIPO,TRUE,2.3554,3324,8094,40,394,1048,2186,1.20%,11.85%,31.53%,65.76%
PMR,TRUE,1.6881,1597,4423,310,1252,1597,1597,19.41%,78.40%,100.00%,100.00%
RADLEX,TRUE,1.8515,46636,235626,5076,21862,46636,46636,10.88%,46.88%,100.00%,100.00%
RCTV2,FALSE,2,88854,88824,2380,8224,44442,88854,2.68%,9.26%,50.02%,100.00%
RETO,FALSE,2,147738,941797,147738,147738,147738,147738,100.00%,100.00%,100.00%,100.00%
REXO,FALSE,2,158239,997563,158239,158239,158239,158239,100.00%,100.00%,100.00%,100.00%
RH-MESH,FALSE,2,305349,432805,574,21740,121362,305349,0.19%,7.12%,39.75%,100.00%
ROO,TRUE,2.1616,1307,1744,56,278,739,1307,4.28%,21.27%,56.54%,100.00%
RXNORM,TRUE,2,127,1766554,127,127,127,127,100.00%,100.00%,100.00%,100.00%
SIO,TRUE,2.051,1544,2494,100,373,980,1544,6.48%,24.16%,63.47%,100.00%
SNMI,TRUE,2,109029,490433,109029,109029,109029,109029,100.00%,100.00%,100.00%,100.00%
SOCPRES,FALSE,1.9636,54,55,5,12,28,54,9.26%,22.22%,51.85%,100.00%
SSE,FALSE,1.1764,238,2563,185,238,238,238,77.73%,100.00%,100.00%,100.00%
TTO,FALSE,2,38640,38639,441,3152,19320,38640,1.14%,8.16%,50.00%,100.00%
TXPO,TRUE,2.0193,9395,22662,261,1508,3770,9155,2.78%,16.05%,40.13%,97.45%
UBERON,TRUE,2.1561,14704,47603,321,1721,4738,10561,2.18%,11.70%,32.22%,71.82%
UPA,TRUE,1.9971,4493,14517,186,1109,2428,4493,4.14%,24.68%,54.04%,100.00%
VANDF,TRUE,2,127,604416,127,127,127,127,100.00%,100.00%,100.00%,100.00%
ZP,TRUE,2.929,45714,168621,8,220,2069,9259,0.02%,0.48%,4.53%,20.25%
,,2.032875556,,,,,,,20.42%,34.46%,58.26%,91.91%
,,,,,,,,,,16.73%,,
,,,,,,,,,,46.72%,,
